Longitud de onda (nm),Absorbancia GOTAS LIMPIAR LENTES
654.631,0.534
654.91,0.528
655.189,0.523
655.468,0.516
655.747,0.508
656.026,0.5
656.304,0.492
656.583,0.485
656.862,0.479
657.14,0.472
657.419,0.466
657.697,0.461
657.975,0.455
658.253,0.449
658.531,0.442
658.809,0.435
659.087,0.429
659.365,0.423
659.643,0.417
659.921,0.41
660.198,0.406
660.476,0.401
660.753,0.397
661.031,0.391
661.308,0.386
661.585,0.381
661.862,0.377
662.139,0.372
662.416,0.368
662.693,0.364
662.97,0.36
663.246,0.356
663.523,0.352
663.8,0.348
664.076,0.343
664.352,0.339
664.629,0.336
664.905,0.332
665.181,0.329
665.457,0.325
665.733,0.321
666.009,0.317
666.285,0.314
666.56,0.311
666.836,0.308
667.112,0.305
667.387,0.302
667.662,0.299
667.938,0.296
668.213,0.292
668.488,0.29
668.763,0.287
669.038,0.284
669.313,0.281
669.588,0.279
669.862,0.276
670.137,0.273
670.411,0.271
670.686,0.27
670.96,0.267
671.235,0.265
671.509,0.263
671.783,0.261
672.057,0.259
672.331,0.258
672.605,0.257
672.878,0.254
673.152,0.252
673.426,0.25
673.699,0.248
673.973,0.245
674.246,0.243
674.519,0.241
674.793,0.239
675.066,0.237
675.339,0.235
675.612,0.233
675.885,0.233
676.157,0.232
676.43,0.231
676.703,0.23
676.975,0.227
677.248,0.225
677.52,0.223
677.792,0.223
678.065,0.223
678.337,0.221
678.609,0.22
678.881,0.218
679.153,0.217
679.424,0.216
679.696,0.215
679.968,0.214
680.239,0.213
680.511,0.213
680.782,0.212
681.053,0.211
681.325,0.21
681.596,0.208
681.867,0.207
682.138,0.207
682.409,0.206
682.68,0.205
682.95,0.204
683.221,0.203
683.492,0.203
683.762,0.203
684.033,0.202
684.303,0.201
684.573,0.2
684.843,0.199
685.114,0.198
685.384,0.196
685.654,0.196
685.923,0.195
686.193,0.195
686.463,0.194
686.733,0.192
687.002,0.191
687.272,0.191
687.541,0.191
687.811,0.191
688.08,0.19
688.349,0.189
688.618,0.188
688.887,0.187
689.156,0.186
689.425,0.186
689.694,0.186
689.963,0.185
690.231,0.185
690.5,0.184
690.769,0.183
691.037,0.182
691.305,0.182
691.574,0.182
691.842,0.182
692.11,0.182
692.378,0.181
692.646,0.18
692.914,0.179
693.182,0.179
693.45,0.178
693.718,0.178
693.985,0.178
694.253,0.179
694.521,0.178
694.788,0.177
695.055,0.176
695.323,0.176
695.59,0.175
695.857,0.174
696.124,0.173
696.391,0.172
696.658,0.171
696.925,0.171
697.192,0.17
697.459,0.169
697.726,0.168
697.993,0.167
698.259,0.167
698.526,0.167
698.792,0.169
699.059,0.169
699.325,0.169
699.591,0.168
699.857,0.168
700.124,0.167
700.39,0.167
700.656,0.166
700.922,0.165
701.188,0.165
701.454,0.164
701.719,0.165
701.985,0.164
702.251,0.163
702.516,0.162
702.782,0.162
703.048,0.162
703.313,0.162
703.578,0.162
703.844,0.162
704.109,0.162
704.374,0.161
704.64,0.161
704.905,0.161
705.17,0.161
705.435,0.161
705.7,0.161
705.965,0.161
706.229,0.162
706.494,0.161
706.759,0.161
707.024,0.161
707.288,0.161
707.553,0.161
707.818,0.161
708.082,0.162
708.347,0.162
708.611,0.161
708.875,0.161
709.14,0.161
709.404,0.162
709.668,0.163
709.932,0.164
710.196,0.164
710.46,0.164
710.724,0.165
710.988,0.165
711.252,0.164
711.516,0.163
711.78,0.162
712.044,0.162
712.308,0.163
712.571,0.164
712.835,0.164
713.099,0.163
713.362,0.162
713.626,0.161
713.89,0.161
714.153,0.161
714.416,0.161
714.68,0.162
714.943,0.162
715.207,0.162
715.47,0.161
715.733,0.161
715.996,0.16
716.26,0.16
716.523,0.161
716.786,0.161
717.049,0.16
717.312,0.158
717.575,0.155
717.838,0.152
718.101,0.148
718.364,0.144
718.627,0.138
718.89,0.131
719.153,0.124
719.416,0.121
719.678,0.127
719.941,0.14
720.204,0.159
720.467,0.175
720.729,0.181
720.992,0.184
721.255,0.189
721.517,0.192
721.78,0.189
722.042,0.18
722.305,0.173
722.567,0.169
722.83,0.169
723.092,0.17
723.355,0.171
723.617,0.171
723.88,0.171
724.142,0.172
724.404,0.173
724.667,0.173
724.929,0.172
725.191,0.17
725.454,0.167
725.716,0.165
725.978,0.164
726.241,0.165
726.503,0.168
726.765,0.17
727.027,0.171
727.29,0.172
727.552,0.171
727.814,0.171
728.076,0.171
728.338,0.172
728.6,0.172
728.863,0.172
729.125,0.172
729.387,0.172
729.649,0.172
729.911,0.171
730.173,0.171
730.435,0.172
730.697,0.172
730.959,0.172
731.222,0.173
731.484,0.173
731.746,0.173
732.008,0.173
732.27,0.173
732.532,0.172
732.794,0.171
733.056,0.17
